NoUrut,PlatNo,Keterangan
5,F8778K,Berhasil Masuk
6,F8778K,Berhasil Keluar
8,F8778K,Berhasil Masuk
20,F8778K,Berhasil Keluar
21,F8778K,Berhasil Masuk
22,F8778K,Berhasil Keluar
25,F8778K,Berhasil Masuk
26,F8778K,Berhasil Keluar
27,F8778K,Berhasil Masuk
6,F8778K,Berhasil Keluar
7,F8778K,Berhasil Masuk
8,F8778K,Berhasil Keluar
10,F8778K,Berhasil Masuk
19,F8778K,Berhasil Keluar
21,F8778K,Berhasil Masuk
23,F8778K,Berhasil Keluar
27,F8778K,Berhasil Masuk
28,F8778K,Berhasil Keluar
29,F8778K,Berhasil Masuk
30,F8778K,Berhasil Keluar
31,F8778K,Berhasil Masuk
32,F8778K,Berhasil Keluar
33,F8778K,Berhasil Masuk
34,F8778K,Berhasil Keluar
35,F8778K,Berhasil Masuk
36,F8778K,Berhasil Keluar
41,F8778K,Berhasil Masuk
42,F8778K,Berhasil Keluar
43,F8778K,Berhasil Masuk
44,F8778K,Berhasil Keluar
45,F8778K,Berhasil Masuk
51,B2TIM,Berhasil Keluar
53,B2TIM,Berhasil Masuk
55,B2TIM,Berhasil Keluar
57,B2TIM,Berhasil Masuk
89,F8778K,Berhasil Keluar
90,F8778K,Berhasil Masuk
96,F8778K,Berhasil Keluar
114,F8778K,Berhasil Masuk
115,F8778K,Berhasil Keluar
116,F8778K,Berhasil Masuk
117,F8778K,Berhasil Keluar
119,F8778K,Berhasil Masuk
120,F8778K,Berhasil Keluar
121,F8778K,Berhasil Masuk
122,F8778K,Berhasil Keluar
139,F8778K,Berhasil Masuk
143,F8778K,Berhasil Keluar
154,F8778K,Berhasil Masuk
155,F8778K,Berhasil Keluar
156,F8778K,Berhasil Masuk
161,F8778K,Berhasil Keluar
1,F8778K,Berhasil Masuk
7,F8778K,Berhasil Keluar
17,F8778K,Berhasil Masuk
24,F8778K,Berhasil Masuk
25,F8778K,Berhasil Keluar
26,F8778K,Berhasil Masuk
27,F8778K,Berhasil Keluar
28,F8778K,Berhasil Masuk
29,F8778K,Berhasil Keluar
30,F8778K,Berhasil Masuk
31,F8778K,Berhasil Keluar
32,F8778K,Berhasil Masuk
33,F8778K,Berhasil Keluar
39,F8778K,Berhasil Masuk
41,F8778K,Berhasil Keluar
43,F8778K,Berhasil Masuk
50,F8778K,Berhasil Keluar
52,F8778K,Berhasil Masuk
56,F8778K,Berhasil Keluar
64,F8778K,Berhasil Masuk
65,F8778K,Berhasil Keluar
66,F8778K,Berhasil Masuk
67,F8778K,Berhasil Keluar
68,F8778K,Berhasil Masuk
69,F8778K,Berhasil Keluar
70,F8778K,Berhasil Masuk
71,F8778K,Berhasil Keluar
72,F8778K,Berhasil Masuk
73,F8778K,Berhasil Keluar
74,F8778K,Berhasil Masuk
75,F8778K,Berhasil Keluar
76,F8778K,Berhasil Masuk
